nome,sobrenome,genero,cpf,fk_endereco,fk_telefone
Ana Laura,Sales,F,623.085.794-47,156,163
Alexandre,da Rocha,M,572.681.934-91,254,1262
Kamilly,Duarte,F,059.324.867-83,2225,553
João Guilherme,da Mota,M,714.098.625-85,2011,2448
Heloísa,Ferreira,F,165.732.408-71,729,240
Daniela,Ferreira,F,901.284.756-76,120,425
Nicole,Castro,F,743.518.960-00,1190,1676
Maria Vitória,da Costa,F,926.407.315-99,118,410
Helena,Jesus,F,549.173.860-39,1822,1043
Enzo,Gomes,M,614.975.238-00,1301,2084
Rebeca,da Paz,F,704.158.293-05,2434,1163
Ana Luiza,Ribeiro,F,289.473.150-79,51,2938
Caio,da Cunha,M,032.796.154-61,2649,824
Rafael,Viana,M,092.465.318-33,2534,129
Larissa,Cardoso,F,015.697.324-34,2038,766
Larissa,Nascimento,F,158.469.073-93,749,742
Pietro,Oliveira,M,231.685.907-03,867,808
Vitor Gabriel,Melo,M,146.850.392-89,670,1276
Danilo,Alves,M,135.986.470-93,1702,324
Maria Clara,Rocha,F,238.976.140-22,2788,2055
Augusto,Silva,M,870.132.946-40,2090,333
João,das Neves,M,791.536.824-91,559,1193
Paulo,Sales,M,697.321.054-61,1330,2870
Luiz Felipe,Lopes,M,965.078.421-76,425,2236
Rodrigo,Rocha,M,023.148.579-41,1223,2319
Caio,Costela,M,029.138.647-40,1922,1021
Isabel,Cunha,F,314.706.928-13,1654,1799
Samuel,Melo,M,087.361.259-03,923,706
Ana Beatriz,Almeida,F,476.350.821-08,1792,2616
Lorenzo,Souza,M,269.738.401-40,1862,1214
Larissa,Fernandes,F,398.142.750-50,2969,348
Otávio,Rezende,M,904.276.135-07,1531,1016
Luiz Gustavo,Freitas,M,374.906.528-47,440,1170
Ana Sophia,Fogaça,F,795.302.814-04,296,1589
Matheus,Fogaça,M,271.369.854-55,2202,2732
Camila,Carvalho,F,507.413.986-48,2930,1687
Rafaela,Aragão,F,416.598.723-91,1961,2122
Isis,Novaes,F,085.392.176-86,2695,2269
Luiza,Porto,F,791.025.436-99,1714,2618
Theo,Nascimento,M,259.613.804-24,276,706
Maria Fernanda,Gomes,F,936.452.871-91,1719,2521
Enzo,Novaes,M,357.982.061-30,417,2908
Matheus,Nunes,M,648.971.532-55,2530,2646
Eduarda,Rezende,F,012.485.637-35,2649,1053
Thiago,Nogueira,M,301.748.259-60,136,783
Pedro,Cavalcanti,M,768.219.305-03,2314,1275
Antônio,Silveira,M,940.287.561-11,453,617
Marcos Vinicius,Pinto,M,652.349.871-91,58,2873
Bianca,Duarte,F,192.367.480-31,1123,2888
Cauê,Cardoso,M,782.596.041-67,1259,2719
Ana Luiza,Monteiro,F,618.294.307-69,1393,454
Luiz Otávio,Lopes,M,605.284.937-10,2062,691
Stephany,Ramos,F,751.329.480-14,2286,2413
Ana Luiza,Barbosa,F,809.135.264-60,2617,1296
Luiz Fernando,Cunha,M,305.198.426-42,2563,2243
Davi Lucas,Pereira,M,315.084.629-33,639,2924
Augusto,Lima,M,654.197.208-76,1267,2813
Gabriel,Silva,M,132.089.547-60,508,1862
Mirella,Nunes,F,704.618.259-02,159,520
Nina,Farias,F,570.391.462-07,2433,478
Eloah,Santos,F,804.975.236-47,2761,1074
Ana Luiza,Ribeiro,F,278.569.304-38,301,2957
Agatha,Azevedo,F,802.694.137-31,1957,1555
João Guilherme,Gomes,M,253.748.619-64,1674,1735
Gabrielly,Ribeiro,F,053.927.481-04,133,116
Lavínia,Pereira,F,801.492.567-01,929,1722
Maysa,Ribeiro,F,640.237.518-71,3032,1502
Gustavo,Alves,M,087.564.132-62,1099,2536
Renan,Lima,M,139.047.652-99,2858,2835
Emanuel,Souza,M,039.125.768-40,2917,2809
Camila,da Rosa,F,351.470.268-35,1085,244
Murilo,Viana,M,046.952.738-29,1598,1400
Gustavo Henrique,Lopes,M,730.582.916-12,8,2474
Gustavo Henrique,da Cunha,M,309.246.815-51,2330,282
Ana Sophia,da Costa,F,821.467.953-28,414,2955
Sofia,Caldeira,F,326.107.584-80,2102,826
Nicole,Lima,F,768.245.093-29,654,651
Caroline,Mendes,F,107.935.824-23,1438,2613
Laura,Fogaça,F,709.832.564-38,296,705
Pedro Lucas,Jesus,M,781.934.652-37,40,1846
Luiz Gustavo,da Rosa,M,735.689.024-00,470,1500
Ryan,da Costa,M,594.382.710-23,77,2108
Isadora,Costa,F,154.980.273-97,766,1853
Pedro,Cardoso,M,201.954.836-42,2529,1651
Letícia,Cardoso,F,502.984.173-32,654,2780
Gustavo Henrique,Pinto,M,862.391.705-77,129,1723
Yuri,Campos,M,320.678.541-35,1277,1332
Clarice,da Luz,F,035.478.926-00,2826,150
Pedro Miguel,Gonçalves,M,324.956.807-47,1327,1143
Isabelly,Fernandes,F,236.784.190-03,2822,841
Eduarda,da Costa,F,961.075.423-61,1378,1159
Noah,Almeida,M,760.215.893-86,1991,1732
Enzo,Santos,M,317.598.046-57,2652,97
Pietra,Nascimento,F,862.179.054-85,249,252
Juliana,Costa,F,032.985.614-60,22,3068
Luiza,Fogaça,F,635.940.182-70,2441,162
Nicolas,da Rosa,M,358.916.024-15,984,2827
Laís,Cavalcanti,F,274.365.108-35,620,2314
Ian,da Conceição,M,924.780.136-22,22,1549
Olivia,Porto,F,051.293.786-95,52,2986
Maria Eduarda,Nogueira,F,285.674.193-28,1239,1718
Marcos Vinicius,Alves,M,936.841.025-98,1886,1666
Yuri,Nunes,M,342.018.967-22,486,1264
Pedro Henrique,Alves,M,045.687.293-00,2170,2126
Enzo,Monteiro,M,634.751.908-93,233,386
Maria Alice,da Mota,F,734.910.526-61,2284,1254
Bruno,Jesus,M,207.459.816-58,1558,2113
André,da Mata,M,237.498.516-46,2859,119
Manuela,Peixoto,F,450.792.136-80,480,2630
Lara,Santos,F,658.371.209-12,115,1831
Yago,Cardoso,M,549.068.731-20,2209,365
Clarice,Azevedo,F,129.705.438-50,2933,1328
Maria Clara,Silva,F,374.928.510-14,132,1597
Caroline,Pires,F,985.314.602-98,2162,496
Kevin,Costa,M,916.053.784-10,2113,2420
Diogo,Martins,M,075.269.483-92,1341,1257
Fernanda,Rodrigues,F,409.632.758-10,912,148
Breno,Teixeira,M,648.512.073-44,1906,1856
Emanuelly,Novaes,F,601.537.428-44,1660,1773
Beatriz,Pires,F,842.567.310-08,180,1176
Rebeca,Nascimento,F,061.395.284-70,700,612
Ana Sophia,das Neves,F,239.785.014-14,3054,1056
Davi Luiz,da Conceição,M,260.154.798-76,689,1476
Luigi,Rocha,M,508.971.426-67,2713,1544
Laís,Aragão,F,296.075.183-30,1015,2839
Pedro Henrique,Correia,M,496.071.832-31,154,688
Sofia,Caldeira,F,317.284.690-31,1537,1011
Alexandre,da Mata,M,392.814.756-00,1236,1706
Marcela,Pereira,F,258.017.639-02,1909,653
Isadora,Nogueira,F,079.165.283-12,2089,762
Elisa,da Costa,F,471.968.352-55,2158,2484
Clarice,da Conceição,F,958.463.710-00,1838,98
Lara,Gonçalves,F,860.452.193-33,886,326
Heitor,Mendes,M,746.890.321-22,104,1799
Helena,das Neves,F,916.324.085-89,769,1727
Emanuel,Viana,M,205.894.631-60,713,1279
Murilo,Cavalcanti,M,307.624.891-03,46,2435
Kamilly,Cardoso,F,086.594.132-70,1893,467
Ana Lívia,Porto,F,037.695.841-39,2177,539
Luigi,da Cunha,M,894.573.062-10,834,2550
Luiz Henrique,Dias,M,956.238.704-65,1012,514
Yuri,Almeida,M,570.936.812-12,2763,1007
Lavínia,Rodrigues,F,708.319.524-23,2778,430
Nina,Oliveira,F,708.691.352-95,2376,2809
Maria Sophia,Porto,F,091.623.854-70,1443,948
Ana Clara,Pires,F,352.104.869-15,94,2070
Theo,das Neves,M,931.570.864-48,65,407
Gustavo,Viana,M,731.805.492-97,1528,652
Júlia,Correia,F,752.801.634-90,2958,480
Ryan,da Paz,M,251.096.783-59,473,2608
Samuel,Monteiro,M,264.830.719-22,957,2019
Anthony,Gonçalves,M,314.079.526-25,3005,1314
Daniela,Teixeira,F,578.934.160-84,2219,2848
Giovanna,Lopes,F,302.746.581-35,642,128
Ana,Melo,F,809.452.361-15,2098,448
Melissa,Rocha,F,307.542.168-53,254,1886
Noah,Novaes,M,960.841.273-04,2105,1026
Emanuelly,Ferreira,F,026.174.583-26,1716,2046
Luiz Felipe,Cunha,M,173.280.946-13,2930,1625
Renan,Viana,M,893.425.106-98,909,2240
Maria Eduarda,Dias,F,546.938.710-01,1871,649
Yuri,Fogaça,M,093.572.618-77,741,829
Maria Clara,da Luz,F,385.269.470-10,1400,197
Ana Lívia,da Cunha,F,169.547.083-48,3003,900
Nicole,Rodrigues,F,107.246.398-96,163,849
Emilly,Mendes,F,073.254.861-62,483,1035
Sophia,Teixeira,F,340.817.695-75,1369,2133
Cauê,Castro,M,954.172.603-80,2738,2200
João Guilherme,Oliveira,M,095.317.246-52,713,1916
Samuel,Dias,M,517.624.908-11,271,2633
Kevin,Porto,M,953.628.701-30,269,1210
Rebeca,Carvalho,F,596.138.720-86,1008,2539
Cauã,Dias,M,297.105.436-52,2046,1627
Ryan,Pereira,M,827.059.143-23,1617,1348
Arthur,Campos,M,918.602.534-15,2263,2698
Henrique,Rocha,M,601.542.379-06,2105,19
Bianca,Aragão,F,745.263.190-07,2436,1498
Pedro,Dias,M,483.567.019-10,228,2793
Luiz Gustavo,Rodrigues,M,620.593.147-80,1706,2489
Diogo,Cunha,M,835.910.762-95,903,1175
Bárbara,Vieira,F,036.895.241-05,79,747
Ana Carolina,Moura,F,601.752.849-11,1645,3038
João Gabriel,Ribeiro,M,853.942.067-83,465,755
Sarah,Silveira,F,260.743.185-90,728,1549
Antônio,da Rocha,M,412.083.765-35,1077,2894
Sarah,Campos,F,478.305.196-84,2830,2166
Luiz Miguel,Teixeira,M,743.029.815-04,18,1022
Otávio,Gonçalves,M,597.620.481-30,732,2459
Luiz Miguel,Costela,M,096.718.354-57,170,246
Alana,Gomes,F,475.893.102-04,2551,2762
Alana,Azevedo,F,428.356.170-35,506,1721
Alana,Farias,F,321.698.057-02,1452,657
Manuela,Moreira,F,037.812.496-03,347,674
Lucca,Ramos,M,473.985.120-23,1615,1767
Luiz Felipe,Sales,M,965.870.342-92,2286,2425
Lorena,Almeida,F,754.128.039-97,706,770
Enrico,Porto,M,835.920.647-38,1814,547
Amanda,Aragão,F,859.074.312-88,1017,1899
Francisco,Costela,M,031.896.574-75,1656,2623
Lorena,Vieira,F,098.361.475-00,2184,143
Vitória,Cunha,F,412.635.790-43,71,1249
Alana,Souza,F,287.105.934-97,1102,2057
Eduarda,da Costa,F,738.456.902-83,1320,2450
Manuela,Campos,F,921.874.350-32,3025,2034
Esther,Almeida,F,324.571.608-71,1201,571
Ana Beatriz,Castro,F,146.297.583-64,1911,1362
Ryan,Campos,M,140.687.295-49,1323,1672
Vitor Hugo,Oliveira,M,309.145.728-14,1107,2986
Raquel,Vieira,F,903.714.682-13,2330,735
Mariana,Carvalho,F,952.461.873-73,2888,712
Vitor Gabriel,da Rosa,M,584.162.930-15,2951,825
Fernanda,Ribeiro,F,604.918.235-33,2719,1462
Maria Eduarda,Rezende,F,382.096.147-03,387,1155
Maria Sophia,Gomes,F,413.086.527-71,2192,3004
Isaac,Oliveira,M,039.178.254-14,1939,838
Cecília,Nascimento,F,401.567.329-80,1469,1924
Clarice,Almeida,F,071.469.382-04,2967,2484
Murilo,Lima,M,670.521.983-12,2669,566
Giovanna,da Cruz,F,954.708.623-56,3022,2902
João Gabriel,Gomes,M,487.590.326-00,2858,714
Daniel,Aragão,M,719.340.685-00,1466,2879
Lavínia,Santos,F,256.397.810-68,1613,732
Pedro Lucas,Campos,M,579.362.084-29,1600,1315
Diogo,Farias,M,263.758.149-28,1902,3065
Rodrigo,Ribeiro,M,148.259.637-73,1352,2723
Stephany,Moura,F,036.485.279-83,471,2835
Fernando,Ribeiro,M,859.271.304-88,1059,1194
Letícia,da Cruz,F,165.049.823-33,2251,2177
Joana,Pinto,F,493.205.671-07,2602,2343
Rafaela,Jesus,F,259.043.617-34,1531,78
Isabella,Santos,F,178.392.540-04,2604,488
Sofia,da Cunha,F,896.712.350-77,1706,1943
Yago,Cunha,M,137.645.289-82,3004,2710
João Lucas,da Cunha,M,138.492.607-04,992,2033
Marcos Vinicius,Mendes,M,584.307.261-44,727,713
Anthony,Cavalcanti,M,108.365.492-60,1065,2330
Enrico,Lima,M,852.470.369-56,615,1349
Luiz Otávio,Costa,M,358.967.014-20,614,80
Mariane,Vieira,F,352.967.081-21,1430,383
Sophia,Cavalcanti,F,126.509.473-06,1182,877
Valentina,Silveira,F,150.387.496-66,1723,1165
Joaquim,Gomes,M,517.346.298-19,693,2155
Lívia,da Rosa,F,250.846.379-56,2938,1919
Levi,Correia,M,784.509.216-94,2683,10
Thales,Campos,M,104.385.927-60,1437,62
Luiz Miguel,Lima,M,209.568.317-02,57,2833
Helena,Silveira,F,367.854.192-55,1481,2985
Thales,Cavalcanti,M,734.650.198-57,2751,339
Vitória,Martins,F,192.530.674-70,2506,2680
Lorenzo,Nogueira,M,289.436.017-78,1718,2022
Calebe,Viana,M,475.691.238-91,2119,1237
Enzo,da Mota,M,863.710.249-22,146,504
Giovanna,Freitas,F,829.304.167-69,1648,216
Enzo Gabriel,Farias,M,169.025.438-60,1522,1613
Bruno,Duarte,M,984.270.136-04,2874,1993
Yago,da Mata,M,309.284.516-15,1826,1116
Thiago,Campos,M,376.510.289-02,798,2985
Lavínia,Monteiro,F,153.642.970-80,660,1992
Marcos Vinicius,da Cunha,M,432.751.806-90,1105,1232
Arthur,Silveira,M,543.790.281-60,1535,994
Maria Cecília,Silveira,F,539.716.284-19,2009,2121
Bianca,Moreira,F,483.512.079-50,2340,2280
Theo,da Cunha,M,659.478.021-20,1340,2101
Lívia,Carvalho,F,369.154.702-80,2606,263
Raquel,Gonçalves,F,972.618.503-30,289,2965
Paulo,Gomes,M,317.549.820-50,716,277
Luiz Gustavo,Gonçalves,M,789.451.026-20,2079,80
Lucca,da Costa,M,691.470.523-25,1222,424
Yasmin,da Mata,F,312.458.097-41,1244,2113
Maria Fernanda,Oliveira,F,524.837.690-47,1016,2066
Renan,Souza,M,592.134.067-70,1029,1846
Emilly,Campos,F,630.715.429-25,3068,2428
Marina,Silveira,F,071.584.926-30,2113,607
Luiza,da Rosa,F,108.296.543-05,1918,2415
Joaquim,Araújo,M,602.713.498-40,2875,1258
Samuel,Sales,M,374.812.905-04,1394,1087
Renan,Pereira,M,439.610.875-39,3051,177
Maria Sophia,Silva,F,128.465.397-82,302,931
Sophia,da Rocha,F,120.753.869-86,1486,26
Maria Clara,Rocha,F,431.927.680-96,1289,2938
Marcela,Azevedo,F,780.316.524-90,2631,26
Otávio,Rezende,M,475.306.281-35,1140,2582
Rafaela,Azevedo,F,973.840.612-96,1744,3039
Gabriel,Nogueira,M,832.096.745-74,1761,2761
Amanda,Moraes,F,423.750.196-52,1711,1231
Diogo,Cunha,M,156.804.739-84,947,189
Leandro,Monteiro,M,013.495.762-80,65,2962
Vitor,Nascimento,M,253.847.069-29,2878,314
Bruno,Carvalho,M,791.048.652-94,630,308
Davi Lucca,Rezende,M,531.209.647-43,682,2977
Joaquim,Alves,M,071.492.836-40,2044,2563
Thomas,da Mota,M,270.641.859-11,2263,2670
Davi Lucca,Cardoso,M,031.275.964-99,2832,1672
Vitor Hugo,Fogaça,M,209.865.134-15,2747,2002
Ryan,Pires,M,027.894.651-85,553,867
Thiago,Jesus,M,329.468.701-03,249,1935
Enrico,Castro,M,369.250.417-99,2421,3004
Gustavo Henrique,Carvalho,M,916.820.574-02,621,113
Luana,Moreira,F,502.798.316-68,2281,2435
João Pedro,Moraes,M,506.923.874-47,664,283
Sofia,Caldeira,F,815.297.406-49,1723,1411
Isis,Lopes,F,720.586.913-77,852,778
Maria Eduarda,Araújo,F,370.942.165-99,993,2336
Yuri,Pires,M,124.076.395-61,1221,1275
Vitor,da Costa,M,028.319.675-03,2870,1082
Amanda,da Cruz,F,127.308.496-96,1651,1673
Thales,Ramos,M,764.103.528-08,369,654
Caio,Gomes,M,964.371.085-84,1129,1622
Maria Alice,Alves,F,235.794.681-46,1729,1404
Igor,Lima,M,261.058.743-08,225,2487
Noah,Cunha,M,108.796.453-93,1688,934
Vitor,Porto,M,259.104.736-70,2947,1633
Rebeca,Farias,F,209.538.716-30,690,1810
Pedro Lucas,Costela,M,843.201.756-62,281,1627
Sophia,Azevedo,F,196.824.735-19,360,1236
Maria Luiza,Pinto,F,370.185.469-66,2658,157
Breno,Fogaça,M,183.045.762-44,1738,2858
Maria Julia,Costa,F,574.310.689-48,1631,566
Yago,das Neves,M,796.140.325-61,2873,630
Stephany,da Cunha,F,890.732.654-10,685,1263
Mariane,Aragão,F,320.198.546-51,1388,2239
Valentina,da Rocha,F,618.794.350-39,2631,145
Otávio,Monteiro,M,857.619.403-10,1086,3032
Stephany,da Paz,F,860.321.954-06,2800,2335
Danilo,Pereira,M,971.843.260-40,2341,555
Ryan,Fogaça,M,127.043.896-40,735,137
Marcela,Correia,F,491.253.076-06,2919,87
Alexandre,da Rosa,M,089.637.152-21,406,931
Luiz Fernando,Barbosa,M,874.692.031-50,2091,2386
Thiago,da Cruz,M,743.021.985-32,605,319
Davi Lucas,Oliveira,M,943.862.510-06,2828,1038
Vitor Hugo,Campos,M,201.467.938-03,949,140
Rafael,Ramos,M,807.694.231-40,2247,2303
Raul,Vieira,M,854.709.163-75,866,620
Esther,da Mota,F,208.379.415-04,1057,1134
Fernando,Porto,M,892.107.435-04,2474,1947
Maria Alice,Correia,F,135.289.467-09,1415,134
Eloah,da Conceição,F,574.296.308-47,434,1239
João Felipe,Martins,M,054.392.187-50,2198,96
Luiz Otávio,da Rosa,M,408.197.356-39,1489,2004
Rebeca,da Cunha,F,942.315.687-82,1466,1776
Nina,das Neves,F,841.596.730-66,1529,1368
Heloísa,Santos,F,428.105.937-79,1172,1174
Kamilly,Moreira,F,275.913.608-68,1286,2911
Benjamin,Freitas,M,107.384.965-10,2516,1369
Calebe,Caldeira,M,159.837.204-14,2430,1120
Pedro,Jesus,M,639.524.187-73,3041,775
João Lucas,Carvalho,M,203.587.146-80,228,2230
Ana Luiza,Lima,F,165.498.320-98,2806,466
Otávio,Santos,M,814.352.067-62,410,2874
Noah,Oliveira,M,239.576.104-43,468,2812
Ana Laura,Vieira,F,186.247.095-20,2597,2363
Olivia,Monteiro,F,967.215.034-25,2531,610
Levi,Gomes,M,320.546.197-52,1834,2078
Gabriela,Porto,F,493.256.170-99,2285,2114
Matheus,da Rosa,M,537.026.981-59,55,1261
João Guilherme,Correia,M,785.921.064-94,7,2568
Pedro Henrique,Rezende,M,570.184.923-60,574,493
Luiza,Farias,F,970.123.485-50,2130,741
Antônio,Santos,M,025.846.971-49,2671,2435
Ana Sophia,Carvalho,F,083.256.947-00,2415,728
Kevin,Lopes,M,975.341.826-46,1336,531
Rafaela,Moraes,F,952.386.017-86,2560,589
Davi Lucca,Viana,M,401.987.236-87,2378,1824
Davi Luiz,da Cunha,M,274.031.586-44,2917,2493
Mirella,Rocha,F,397.162.840-04,1913,3013
Bianca,Oliveira,F,562.413.908-05,654,841
Giovanna,Porto,F,405.297.163-99,2964,784
Isabella,Duarte,F,130.258.947-41,952,519
Maria Cecília,Silva,F,250.198.367-02,787,468
Agatha,Costa,F,704.398.216-22,1716,1302
Giovanna,Gonçalves,F,052.678.941-76,340,1080
Eduarda,Cavalcanti,F,079.258.134-23,2862,2200
Isabel,Pires,F,159.873.064-93,2296,1348
João Lucas,Costela,M,576.014.392-16,526,2260
Elisa,Pires,F,756.829.301-77,871,1504
Olivia,Rezende,F,526.193.708-68,878,1071
João Felipe,Oliveira,M,976.821.054-02,1802,309
Maria Sophia,Souza,F,381.964.520-98,3039,1485
Juan,da Conceição,M,370.452.961-34,939,989
Mariane,Moura,F,738.602.451-71,1355,2006
Helena,Silveira,F,631.589.074-10,276,1738
Augusto,Carvalho,M,054.671.293-25,842,1979
Ana Lívia,Sales,F,240.683.197-31,2297,943
Ana Lívia,Barros,F,863.504.917-93,305,1394
Mirella,Santos,F,950.832.716-21,1192,498
Raquel,Costela,F,743.902.586-56,1395,150
Bianca,Novaes,F,582.317.064-53,2480,3025
Valentina,Caldeira,F,138.642.950-33,1795,2773
Catarina,da Rosa,F,021.458.367-80,399,43
Felipe,Cardoso,M,523.896.071-95,1665,2659
Luiz Henrique,Silva,M,463.850.719-01,480,183
Agatha,da Rosa,F,638.459.107-39,2815,2793
Enzo Gabriel,da Paz,M,723.905.184-60,35,546
Nicole,da Cunha,F,781.523.946-37,1398,2551
Isabelly,Oliveira,F,683.247.901-87,650,2285
Vitória,Moreira,F,873.091.452-32,68,1639
Maria Alice,Carvalho,F,061.452.938-70,1811,2069
Maria Luiza,Peixoto,F,798.413.206-22,1772,581
Ana Julia,da Mata,F,513.267.409-70,1468,2823
Noah,Nascimento,M,372.156.904-07,342,372
Davi,Duarte,M,730.481.569-84,2442,1553
Gabrielly,Freitas,F,647.129.385-28,2281,220
Pedro Lucas,Jesus,M,492.851.367-37,1005,752
Pedro Miguel,Rodrigues,M,924.607.513-70,1471,1559
João Guilherme,Pinto,M,832.650.714-80,1480,1194
André,da Cunha,M,491.268.305-15,1200,2661
Joana,da Cunha,F,805.471.269-30,2506,2994
Murilo,Santos,M,048.695.123-51,1391,2155
Julia,Pinto,F,768.093.512-21,2500,763
João Gabriel,Monteiro,M,729.105.486-94,311,3068
Thomas,Moraes,M,316.905.782-03,2691,1140
Rafaela,da Costa,F,504.289.361-05,1214,2260
Laura,Mendes,F,135.820.496-98,932,2261
Brenda,Melo,F,695.430.127-25,2424,404
Vitória,Duarte,F,581.470.936-75,1822,2365
Sophie,Pinto,F,746.205.381-08,1258,1963
Isabelly,Almeida,F,852.346.019-51,917,3032
Pedro Henrique,Ferreira,M,123.597.846-09,1441,1021
Maria Vitória,Peixoto,F,308.472.195-50,2773,2700
Emilly,Cardoso,F,756.910.248-76,1135,2285
Carlos Eduardo,Correia,M,196.207.584-20,138,2791
Pietra,Silveira,F,753.648.210-80,2108,676
Thales,Nogueira,M,805.214.379-97,1985,1312
Bernardo,Oliveira,M,956.120.378-21,2814,1084
Enzo,Cardoso,M,205.437.691-43,133,734
Lucas,Fogaça,M,914.375.628-09,2184,613
Lucas Gabriel,Costela,M,381.697.025-77,685,324
Murilo,da Luz,M,912.045.376-07,313,1037
Marcela,Peixoto,F,542.630.789-00,485,2203
Antônio,da Rosa,M,351.279.864-00,500,340
Rodrigo,Carvalho,M,798.320.645-38,954,717
João Guilherme,Oliveira,M,785.391.620-59,613,1794
Eloah,Ferreira,F,267.948.531-91,767,2065
Maria Eduarda,Campos,F,310.958.724-60,1691,2855
Sophia,Silva,F,784.596.032-29,1454,2735
Lorenzo,Nascimento,M,638.079.425-56,733,998
